NAME,TYPE,LOCATION,SUBSCRIPTION,RESOURCEGROUP,REPO(TAG)
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertsecurity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sit-ods-dai-alphacertstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertcontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertexport,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertidentity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertods,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertrds,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertrdscontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertrdsstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertsecurity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-stg-ods-dai-alphacertstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertcontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertexport,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertidentity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertods,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertrds,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertrdscontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertrdsstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
